Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Have Mortgage,Home Mortgage,Own Home,Rent,business loan,buy a car,buy house,debt consolidation,educational expenses,home improvements,major purchase,medical bills,moving,other,renewable energy,small business,take a trip,vacation,wedding,Loan-to-Income Ratio,Credit Utilization Ratio,Delinquency Ratio,Debt-to-Income Ratio
Own Home,-1.4737971175290425,1.0756473140670004,-0.12101820354380821,0.01816970565974464,1.2941255066629866,0.20572652929388538,1.8346477303464392,-0.6983066109996929,2.6336505423134478,debt consolidation,-0.5915167019106974,-0.0567142370064208,-1.0759513265710972,-0.9719683079066551,1.1996946965090862,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.7511051411475855,-1.7516846515075422,-0.6517982060073902,0.27887955785805013
Own Home,-0.45971369059681366,1.0756473140670004,-0.12101820354380821,0.9420530442908254,-0.43545628309055534,1.3714492448037396,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,1.6905693394114378,0.18415361099279257,0.6403104401806683,0.06178461542457362,0.6109228017852913,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5306317933666562,-0.5815131620663327,-0.6517982060073902,0.49454425734320834
Home Mortgage,-0.9711875868729466,0.5262683869327771,-0.12101820354380821,0.01816970565974464,2.1746398723556988,1.3731045865785927,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.0567142370064208,0.21279295515345745,-0.4049312564532409,0.8562444245868726,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0542784039687882,-0.9055457324333356,-0.6517982060073902,0.5305925716245896
Own Home,-0.871055712829009,-0.023110540201446223,-0.12101820354380821,-0.674742798313566,0.6966336156572175,-1.0606099284687607,1.8346477303464392,-0.6983066109996929,2.6336505423134478,debt consolidation,-0.5915167019106974,-1.2714286024381631,-0.8366278452666392,-0.6335449395649276,-1.498843154308307,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9989113399045584,0.8133836389230882,-0.6517982060073902,-0.05647417316767584
Rent,-0.9248092259489131,0.5262683869327771,-0.12101820354380821,0.480111374975285,-0.7027552869615575,-0.49996636109819054,1.8346477303464392,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-1.2477839575991159,-0.8491991296628749,-1.0445158407229016,-0.27223504030040097,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.925033212873036,-0.9892763068541848,-0.6517982060073902,-0.7513564139283649
Rent,-0.19303811528362164,0.25157892336566545,-0.12101820354380821,0.24914054031751484,-0.5455205788021446,-0.5447640478801534,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,other,1.6905693394114378,-0.12267343189158456,-0.4918556799221143,0.09331412900547638,0.31653685442339397,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.09891716764918668,-0.06305850481030148,-0.6517982060073902,0.21879261702291813
Home Mortgage,0.44654359293328544,1.0756473140670004,-0.12101820354380821,-0.44377196365579574,0.3507172577065092,-0.49458650032991786,-0.36200903491510206,2.5249458678167356,-0.34379580489048017,home improvements,-0.5915167019106974,-0.0567142370064208,-1.055030457762436,-1.5251679552806763,1.0034373982678213,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.47269188078668417,-1.4695631897013857,1.8797239586834957,-1.8605740777308226
Rent,-0.4325178168745403,1.0756473140670004,-0.12101820354380821,0.480111374975285,-0.9543308200166181,-0.6303762552983389,-0.36200903491510206,0.09646797281805658,-0.34379580489048017,other,-0.5915167019106974,-0.5824564265835512,-0.8704014451371233,0.19897259301169912,-0.9591355841448284,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.40870608115370816,-0.8674667060176773,0.4041586421410684,0.6503009502606548
Home Mortgage,-0.19303811528362164,-0.2978000037685579,-0.12101820354380821,1.4039947136063657,-0.3725623998267904,-1.1447762983054728,1.8346477303464392,-0.6983066109996929,2.6336505423134478,home improvements,-0.5915167019106974,-1.227065630190644,-1.3098335056741994,-1.7524967365849908,0.31653685442339397,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.258350398870089,-2.055796921700514,-0.6517982060073902,-2.078901155488529
Home Mortgage,-0.19303811528362164,-1.3965578580370046,-0.12101820354380821,-0.21280112899802556,1.026826502791985,-0.2049534191610839,-0.36200903491510206,-0.43338174972710974,-0.34379580489048017,debt consolidation,1.6905693394114378,1.130726849972361,-0.29606261622850255,-0.013332721006417284,0.31653685442339397,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2169504571429086,-0.28425508073223826,-0.4800979054954458,0.08603697683336811
Home Mortgage,-0.19303811528362164,-1.6712473216041164,-0.12101820354380821,-0.9057136329713361,-1.0329481740963244,-0.8044975182407027,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.742233358292954,-0.38415542255734847,-0.3119241333196061,0.31653685442339397,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7493549093399378,1.1715828245637354,-0.6517982060073902,-0.28565420853515067
Home Mortgage,1.0389668760515958,-0.5724894673356696,-0.12101820354380821,0.24914054031751484,-0.07381645432390554,0.5657633653244416,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,0.42958119360655667,0.6795253422525082,-0.2194112031888068,0.6109228017852913,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.40868307306520013,0.06260951994680254,-0.6517982060073902,-0.8602499171396928
Home Mortgage,-0.63150509631313,1.0756473140670004,-0.12101820354380821,-0.674742798313566,-0.6398614036977923,-0.3641248766993054,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.12021532524990143,0.24694181724472467,0.1678384338330647,-0.9100712595845122,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3785580640539867,1.0802442426814398,-0.6517982060073902,0.9137910498557701
Rent,1.4827524764531264,1.0756473140670004,-0.12101820354380821,0.01816970565974464,-0.05809298350796459,2.4819766580083344,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,1.6905693394114378,2.2193344920508977,2.475248884255103,0.40732436300713176,0.16934388074244522,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4725552274530512,-0.01115499410205222,-0.6517982060073902,-0.5596047911906853
Own Home,1.841865656452064,0.25157892336566545,-0.12101820354380821,0.01816970565974464,-0.05809298350796459,2.3609297907221993,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,other,-0.5915167019106974,2.2193344920508977,2.475248884255103,2.2533526735188465,1.15063037194877,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2633598764283733,0.05455097899243108,-0.6517982060073902,0.4994309796158751
Rent,-0.7900708685243513,1.0756473140670004,-0.12101820354380821,-0.44377196365579574,0.05197131220362434,-0.7107637902396441,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-1.14512874213454,-1.1053155953473792,-0.47530434005701133,0.12027955618212896,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8666541492109089,-1.439102157289618,-0.6517982060073902,0.11123247704015317
Rent,-0.19303811528362164,0.25157892336566545,-0.12101820354380821,-1.1366844676291064,-0.042369512692023076,0.707812381379026,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,1.6905693394114378,0.9469860387951211,1.3482426196880928,0.10833759629167455,0.31653685442339397,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0240523157593624,0.5847563481374871,-0.6517982060073902,0.23749406031189982
Home Mortgage,2.521113627945512,-0.8471789309027813,-0.12101820354380821,0.7110822096330552,1.640041864613695,1.0431225496477137,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,1.6905693394114378,1.7506592167739856,2.094076283494616,2.2533526735188465,-2.6273226191955805,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.26757162512756605,0.8629978163602898,-0.6517982060073902,0.14133077051348075
Home Mortgage,0.24245043889755435,-1.121868394469893,-0.12101820354380821,-0.44377196365579574,1.7186592186934015,-0.49670740697894844,-0.36200903491510206,1.0678591308175283,-0.34379580489048017,debt consolidation,1.6905693394114378,1.0280716345077852,-0.3125741539429614,-0.42637923277630013,-1.4497788297479908,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5944007636797076,0.24554015575624988,0.31919659688774416,-0.7032932056175986
Rent,-0.4698190674036558,-1.121868394469893,-0.12101820354380821,-1.1366844676291064,-0.8757134659369117,-0.9390974963084481,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.26969161960367977,-0.714855254622505,-0.32586037599956624,-0.6156853122226147,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0017645601784046878,0.6151004126772281,-0.6517982060073902,-0.04449022741525285
Home Mortgage,0.7094606772235817,1.0756473140670004,-0.12101820354380821,0.01816970565974464,1.3255724482948692,0.15384191053833252,-0.36200903491510206,1.2444757049992503,-0.34379580489048017,debt consolidation,1.6905693394114378,1.1956910969311294,-0.061429912683834034,-0.8901299466371019,-1.3516501806273584,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32842501715218725,-0.37572536581191307,0.5170596887984507,-1.3202803905202531
Home Mortgage,-0.4188312363572032,-0.023110540201446223,-0.12101820354380821,-0.9057136329713361,2.1746398723556988,-0.46406613635606325,-0.36200903491510206,1.2886298485446808,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.18892525851980582,-0.40338761137248524,-0.984619648779243,-0.27223504030040097,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04113974460037498,-0.036494664840307015,0.3412646605899063,-1.012375469063283
Rent,-1.5079426538974248,1.0756473140670004,-0.12101820354380821,-1.1366844676291064,1.6085949229818126,-0.7289725497630286,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.0567142370064208,-0.5312582131043457,-1.2537571581234381,0.6599871263456076,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.9378709893052712,0.35628604586948875,-0.6517982060073902,-0.5116983527601162
Own Home,-0.19303811528362164,1.0756473140670004,-0.12101820354380821,1.4039947136063657,-0.5140736371702618,0.23883336479094802,-0.36200903491510206,0.05231382927262605,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.9868734954890361,-0.4800349199674449,-0.06087408787918915,0.31653685442339397,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0061874958001056,-0.9969725639588559,0.1568173984306188,0.02685675168862787
