Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Have Mortgage,Home Mortgage,Own Home,Rent,business loan,buy a car,buy house,debt consolidation,educational expenses,home improvements,major purchase,medical bills,moving,other,renewable energy,small business,take a trip,vacation,wedding,Loan-to-Income Ratio,Credit Utilization Ratio,Delinquency Ratio,Debt-to-Income Ratio
Own Home,482087.0,10,0.0,11.0,26.3,685960.0,1.0,0.0,1.0,debt consolidation,0,349701.0,47386.0,7914.0,749.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7253898155312215,0.06907982972768091,0.0,0.19699348872713845
Own Home,1025487.0,10,0.0,15.0,15.3,1181730.0,0.0,0.0,0.0,debt consolidation,1,394972.0,394972.0,18373.0,737.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.38515554073332964,0.33423201577348466,0.0,0.2149963870824301
Home Mortgage,751412.0,8,0.0,11.0,31.9,1182434.0,0.0,0.0,0.0,debt consolidation,0,349701.0,308389.0,13651.0,742.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.46539182232916165,0.2608086370994068,0.0,0.21800556818363295
Own Home,805068.0,6,0.0,8.0,22.5,147400.0,1.0,0.0,1.0,debt consolidation,0,121396.0,95855.0,11338.0,694.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15078974695305242,0.6503052917232022,0.0,0.16899938887149904
Rent,776264.0,8,0.0,13.0,13.6,385836.0,1.0,0.0,0.0,debt consolidation,0,125840.0,93309.0,7180.0,719.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1621097976976905,0.24183590955742854,0.0,0.1109931672729896
Rent,1168386.0,7,0.0,12.0,14.6,366784.0,0.0,0.0,0.0,other,1,337304.0,165680.0,18692.0,731.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2886922643715347,0.45170999825510383,0.0,0.19197765122142854
Home Mortgage,1511108.0,10,0.0,9.0,20.3,388124.0,0.0,73.0,0.0,home improvements,0,349701.0,51623.0,2317.0,745.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.23142025586523265,0.1330064618523977,3.5960591133004924,0.01839974376417834
Rent,1040060.0,10,0.0,13.0,12.0,330374.0,0.0,18.0,0.0,other,0,250888.0,89015.0,19761.0,705.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.24122454473780358,0.2694370622385539,1.5,0.2279983847085745
Home Mortgage,1168386.0,5,0.0,17.0,15.7,111604.90000000002,1.0,0.0,1.0,home improvements,0,129734.0,19.0,17.0,731.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.11103693471164496,0.00017024342121179265,0.0,0.0001745998325895723
Home Mortgage,1168386.0,1,0.0,10.0,24.6,511302.0,0.0,6.0,0.0,debt consolidation,1,572880.0,205333.0,17613.0,731.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.49031741222506947,0.4015884936886615,0.24390243902439024,0.1808956971411845
Home Mortgage,1168386.0,0,0.0,7.0,11.5,256322.0,0.0,0.0,0.0,debt consolidation,0,220858.0,187492.0,14592.0,731.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.18902828346111644,0.7314705721709412,0.0,0.14986827983217874
Home Mortgage,1828560.0,4,0.0,12.0,17.6,839080.0,0.0,0.0,0.0,debt consolidation,0,441100.0,402914.0,15528.0,737.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2412280701754386,0.480185441197502,0.0,0.10190313689460559
Home Mortgage,933432.0,10,0.0,8.0,14.0,443608.0,0.0,0.0,0.0,debt consolidation,0,337766.0,315305.0,19446.0,706.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.36185388973165694,0.7107739265297289,0.0,0.24999357210809142
